No.,Time,Source,Destination,Protocol,Length,Type,Duration
29447,389.936343,10.8.0.137,147.32.83.234,TCP,60,out,0.000000 
29448,389.936944,147.32.83.234,10.8.0.137,TCP,60,in,0.000601 
29449,389.938522,10.8.0.137,147.32.83.234,TCP,52,out,0.001578 
29450,389.976765,10.8.0.137,147.32.83.234,TCP,322,out,0.038243 
29451,390.177841,10.8.0.137,147.32.83.234,TCP,322,out,0.201076 
29452,390.178231,147.32.83.234,10.8.0.137,TCP,64,in,0.000390 
29576,502.898654,147.32.83.234,10.8.0.137,TCP,73,in,112.720423 
29577,502.899903,10.8.0.137,147.32.83.234,TCP,52,out,0.001249 
29578,502.900258,147.32.83.234,10.8.0.137,TCP,73,in,0.000355 
29579,502.901309,10.8.0.137,147.32.83.234,TCP,52,out,0.001051 
29580,502.911992,10.8.0.137,147.32.83.234,TCP,264,out,0.010683 
29581,503.119838,147.32.83.234,10.8.0.137,TCP,52,in,0.207846 
29582,503.121149,10.8.0.137,147.32.83.234,TCP,1165,out,0.001311 
29583,503.322369,147.32.83.234,10.8.0.137,TCP,52,in,0.201220 
29649,612.996074,147.32.83.234,10.8.0.137,TCP,78,in,109.673705 
29650,613.034406,10.8.0.137,147.32.83.234,TCP,52,out,0.038332 
29681,697.74004,147.32.83.234,10.8.0.137,TCP,81,in,84.705634 
29682,697.74135,10.8.0.137,147.32.83.234,TCP,52,out,0.001310 
29688,776.918405,147.32.83.234,10.8.0.137,SMPP,88,in,79.177055 
29689,776.91958,10.8.0.137,147.32.83.234,TCP,52,out,0.001175 
29690,776.920915,10.8.0.137,147.32.83.234,TCP,196,out,0.001335 
29691,777.120073,147.32.83.234,10.8.0.137,TCP,52,in,0.199158 
29700,897.303812,147.32.83.234,10.8.0.137,TCP,73,in,120.183739 
29701,897.30781,10.8.0.137,147.32.83.234,TCP,106,out,0.003998 
29702,897.434556,10.8.0.137,147.32.83.234,TCP,1401,out,0.126746 
29703,897.434598,10.8.0.1,10.8.0.137,ICMP,576,in,0.000042 
29704,897.434619,10.8.0.137,147.32.83.234,TCP,1401,out,0.000021 
29705,897.43463,10.8.0.1,10.8.0.137,ICMP,576,in,0.000011 
29706,897.434647,10.8.0.137,147.32.83.234,TCP,1401,out,0.000017 
29707,897.434656,10.8.0.1,10.8.0.137,ICMP,576,in,0.000009 
29708,897.435092,10.8.0.137,147.32.83.234,TCP,1401,out,0.000436 
29709,897.435116,10.8.0.1,10.8.0.137,ICMP,576,in,0.000024 
29710,897.435483,10.8.0.137,147.32.83.234,TCP,1401,out,0.000367 
29711,897.435509,10.8.0.1,10.8.0.137,ICMP,576,in,0.000026 
29712,897.435763,10.8.0.137,147.32.83.234,TCP,1401,out,0.000254 
29713,897.435785,10.8.0.1,10.8.0.137,ICMP,576,in,0.000022 
29714,897.436056,10.8.0.137,147.32.83.234,TCP,1401,out,0.000271 
29715,897.436079,10.8.0.1,10.8.0.137,ICMP,576,in,0.000023 
29717,897.436409,10.8.0.137,147.32.83.234,TCP,1400,out,0.000330 
29718,897.436736,10.8.0.137,147.32.83.234,TCP,53,out,0.000327 
29719,897.436924,147.32.83.234,10.8.0.137,TCP,52,in,0.000188 
29720,897.436998,10.8.0.137,147.32.83.234,TCP,1400,out,0.000074 
29722,897.437305,10.8.0.137,147.32.83.234,TCP,1400,out,0.000307 
29723,897.437502,10.8.0.137,147.32.83.234,TCP,54,out,0.000197 
29724,897.437641,147.32.83.234,10.8.0.137,TCP,52,in,0.000139 
29725,897.437719,10.8.0.137,147.32.83.234,TCP,1400,out,0.000078 
29726,897.437814,147.32.83.234,10.8.0.137,TCP,52,in,0.000095 
29727,897.441716,10.8.0.137,147.32.83.234,TCP,53,out,0.003902 
29728,897.441977,10.8.0.137,147.32.83.234,TCP,1400,out,0.000261 
29729,897.442054,147.32.83.234,10.8.0.137,TCP,52,in,0.000077 
29730,897.44206,10.8.0.137,147.32.83.234,TCP,1400,out,0.000006 
29731,897.442091,10.8.0.137,147.32.83.234,TCP,54,out,0.000031 
29732,897.442215,10.8.0.137,147.32.83.234,TCP,1400,out,0.000124 
29733,897.442297,10.8.0.137,147.32.83.234,TCP,227,out,0.000082 
29734,897.442578,147.32.83.234,10.8.0.137,TCP,52,in,0.000281 
29735,897.442628,147.32.83.234,10.8.0.137,TCP,64,in,0.000050 
29736,897.442668,147.32.83.234,10.8.0.137,TCP,64,in,0.000040 
29737,897.442685,10.8.0.137,147.32.83.234,TCP,53,out,0.000017 
29738,897.442954,147.32.83.234,10.8.0.137,TCP,52,in,0.000269 
29739,992.902259,147.32.83.234,10.8.0.137,TCP,73,in,95.459305 
29740,992.903575,10.8.0.137,147.32.83.234,TCP,106,out,0.001316 
29741,992.997536,10.8.0.137,147.32.83.234,TCP,1400,out,0.093961 
29742,992.997613,10.8.0.137,147.32.83.234,TCP,1400,out,0.000077 
29743,992.99765,10.8.0.137,147.32.83.234,TCP,1400,out,0.000037 
29744,992.998084,10.8.0.137,147.32.83.234,TCP,1400,out,0.000434 
29745,992.998302,147.32.83.234,10.8.0.137,TCP,52,in,0.000218 
29746,992.998317,147.32.83.234,10.8.0.137,TCP,52,in,0.000015 
29747,992.998429,10.8.0.137,147.32.83.234,TCP,1400,out,0.000112 
29748,992.998661,10.8.0.137,147.32.83.234,TCP,1400,out,0.000232 
29749,992.998882,147.32.83.234,10.8.0.137,TCP,52,in,0.000221 
29750,992.999002,10.8.0.137,147.32.83.234,TCP,1400,out,0.000120 
29751,992.999191,10.8.0.137,147.32.83.234,TCP,134,out,0.000189 
29752,992.999548,147.32.83.234,10.8.0.137,TCP,52,in,0.000357 
29760,1059.317159,147.32.83.234,10.8.0.137,TCP,74,in,66.317611 
29761,1059.319056,10.8.0.137,147.32.83.234,TCP,107,out,0.001897 
29762,1059.376977,10.8.0.137,147.32.83.234,TCP,1400,out,0.057921 
29763,1059.377039,10.8.0.137,147.32.83.234,TCP,1400,out,0.000062 
29764,1059.377514,147.32.83.234,10.8.0.137,TCP,52,in,0.000475 
29765,1059.378153,10.8.0.137,147.32.83.234,TCP,1400,out,0.000639 
29766,1059.378241,10.8.0.137,147.32.83.234,TCP,1400,out,0.000088 
29767,1059.378518,10.8.0.137,147.32.83.234,TCP,1400,out,0.000277 
29768,1059.378636,147.32.83.234,10.8.0.137,TCP,52,in,0.000118 
29769,1059.37896,147.32.83.234,10.8.0.137,TCP,52,in,0.000324 
29770,1059.379515,10.8.0.137,147.32.83.234,TCP,1400,out,0.000555 
29771,1059.379705,10.8.0.137,147.32.83.234,TCP,1400,out,0.000190 
29772,1059.38018,147.32.83.234,10.8.0.137,TCP,52,in,0.000475 
29773,1059.381084,10.8.0.137,147.32.83.234,TCP,1400,out,0.000904 
29774,1059.381231,10.8.0.137,147.32.83.234,TCP,1400,out,0.000147 
29775,1059.381691,147.32.83.234,10.8.0.137,TCP,52,in,0.000460 
29776,1059.382214,10.8.0.137,147.32.83.234,TCP,1222,out,0.000523 
29777,1059.604015,147.32.83.234,10.8.0.137,TCP,52,in,0.221801 
29778,1142.713539,147.32.83.234,10.8.0.137,TCP,115,in,83.109524 
29779,1142.715724,10.8.0.137,147.32.83.234,TCP,149,out,0.002185 
29780,1142.718469,10.8.0.137,147.32.83.234,TCP,1400,out,0.002745 
29781,1142.718529,10.8.0.137,147.32.83.234,TCP,1400,out,0.000060 
29782,1142.718802,10.8.0.137,147.32.83.234,TCP,1400,out,0.000273 
29783,1142.719166,147.32.83.234,10.8.0.137,TCP,52,in,0.000364 
29784,1142.719208,10.8.0.137,147.32.83.234,TCP,1400,out,0.000042 
29785,1142.719458,10.8.0.137,147.32.83.234,TCP,1400,out,0.000250 
29786,1142.719843,147.32.83.234,10.8.0.137,TCP,52,in,0.000385 
29787,1142.719889,10.8.0.137,147.32.83.234,TCP,1400,out,0.000046 
29788,1142.720189,10.8.0.137,147.32.83.234,TCP,1400,out,0.000300 
29789,1142.720401,147.32.83.234,10.8.0.137,TCP,52,in,0.000212 
29790,1142.720531,10.8.0.137,147.32.83.234,TCP,1400,out,0.000130 
29791,1142.720922,10.8.0.137,147.32.83.234,TCP,1400,out,0.000391 
29792,1142.721126,147.32.83.234,10.8.0.137,TCP,52,in,0.000204 
29793,1142.721246,10.8.0.137,147.32.83.234,TCP,1400,out,0.000120 
29794,1142.721645,10.8.0.137,147.32.83.234,TCP,1400,out,0.000399 
29795,1142.721703,147.32.83.234,10.8.0.137,TCP,52,in,0.000058 
29796,1142.722175,10.8.0.137,147.32.83.234,TCP,1400,out,0.000472 
29797,1142.722492,10.8.0.137,147.32.83.234,TCP,1400,out,0.000317 
29798,1142.722713,147.32.83.234,10.8.0.137,TCP,52,in,0.000221 
29799,1142.722905,10.8.0.137,147.32.83.234,TCP,1400,out,0.000192 
29800,1142.723101,10.8.0.137,147.32.83.234,TCP,1400,out,0.000196 
29801,1142.723409,147.32.83.234,10.8.0.137,TCP,52,in,0.000308 
29802,1142.723484,10.8.0.137,147.32.83.234,TCP,1400,out,0.000075 
29803,1142.72377,10.8.0.137,147.32.83.234,TCP,1400,out,0.000286 
